,capacity,city,country_code,dome,elevation,grass,id,location,name,state,year_constructed,zip
0,10000,Tuskegee,US,False,122.8,,4747,,Abbott Memorial Alumni Stadium,AL,1925.0,
1,28500,Baton Rouge,US,False,20.24213219,,3599,"{'x': 30.5221461, 'y': -91.1896087}",Ace W. Mumford Stadium,LA,1928.0,
2,30343,Las Cruces,US,False,1208.201294,False,3601,"{'x': 32.2796202, 'y': -106.7411148}",Aggie Memorial Stadium,NM,1978.0,88003
3,21500,Greensboro,US,False,235.1224518,,3603,"{'x': 36.0814337, 'y': -79.7700391}",Aggie Stadium,NC,1981.0,
4,10849,Davis,US,False,11.3825922,,3602,"{'x': 38.5365266, 'y': -121.7627936}",Aggie Stadium,CA,2007.0,
5,65000,San Antonio,US,False,201.5526886,False,3604,"{'x': 29.4169834, 'y': -98.4788143}",Alamodome,TX,1993.0,78299
6,36387,Boise,US,False,823.2221069,False,3653,"{'x': 43.6028839, 'y': -116.1958882}",Albertsons Stadium,ID,1970.0,83725
7,12283,Grand Forks,US,False,255.2472076,False,3605,"{'x': 47.910622, 'y': -97.090996}",Alerus Center,ND,2001.0,
8,11075,San Luis Obispo,US,False,84.6832428,,1027,"{'x': 35.2984123, 'y': -120.6650005}",Alex G. Spanos Stadium,CA,2006.0,
9,10000,Orono,US,False,35.4817543,False,3607,"{'x': 44.905128, 'y': -68.6724718}",Alfond Stadium,ME,1998.0,04469
10,8000,Rolla,US,False,336.1,,3609,,Allgood-Bailey Stadium,MO,1967.0,
11,45500,Sydney,AU,False,42.8,True,5363,,Allianz Stadium,NSW,1988.0,
12,50000,Honolulu,US,False,10.26500511,False,3610,"{'x': 21.3728014, 'y': -157.9299645}",Aloha Stadium,HI,1975.0,96818
13,10000,Lexington,US,False,294.958252,,3597,"{'x': 37.788983, 'y': -79.43505}",Alumni Memorial Field,VA,1962.0,
14,7000,Dover,US,False,10.95275307,,3613,"{'x': 39.189375, 'y': -75.5433185}",Alumni Stadium,DE,1980.0,
15,44500,Chestnut Hill,US,False,39.82634354,False,3615,"{'x': 42.335104, 'y': -71.1664413}",Alumni Stadium,MA,1957.0,02467
16,45000,Fort Worth,US,False,185.4387054,False,3616,"{'x': 32.7096604, 'y': -97.3680835}",Amon G. Carter Stadium,TX,1929.0,76129
17,10221,Hamilton,US,False,337.1443787,,3617,"{'x': 42.8168991, 'y': -75.5452721}",Andy Kerr Stadium,NY,1966.0,
18,83500,Sydney,AU,False,9.444999695,True,5221,"{'x': -33.846991, 'y': 151.063435}",ANZ Stadium,,1999.0,
19,30850,Denton,US,False,198.6871948,False,3825,"{'x': 33.203899, 'y': -97.159245}",Apogee Stadium,TX,2011.0,76210
20,56029,Tucson,US,False,742.1530151,False,3619,"{'x': 32.2288054, 'y': -110.9488677}",Arizona Stadium,AZ,1928.0,85721
21,17000,Hampton,US,False,2.574624538,,3620,"{'x': 37.0200894, 'y': -76.3331555}",Armstrong Stadium,VA,1928.0,
22,76416,Kansas City,US,False,256.798584,True,3622,"{'x': 39.048889, 'y': -94.483889}",Arrowhead Stadium,MO,1972.0,
23,2200,Pittsburgh,US,False,269.4302979,,3623,"{'x': 40.4355808, 'y': -79.9900263}",Arthur J. Rooney Athletic Field,PA,1993.0,
24,3500,New Britain,US,False,41.29866409,,3624,"{'x': 41.6950591, 'y': -72.7616197}",Arute Field,CT,1969.0,
25,100000,Arlington,US,False,172.5047302,False,3687,"{'x': 32.747778, 'y': -97.092778}",AT&T Stadium,TX,2009.0,
26,54000,Eugene,US,False,127.4198303,False,3626,"{'x': 44.0582712, 'y': -123.0684883}",Autzen Stadium,OR,1967.0,97401
27,51700,Dublin,IE,False,2.264276505,True,3504,"{'x': 53.33523, 'y': -6.228447}",Aviva Stadium,,2010.0,
28,6500,Clinton,US,False,194.1601868,,3627,"{'x': 34.46158, 'y': -81.861368}",Bailey Memorial Stadium,SC,2002.0,
29,75412,Charlotte,US,False,220.8777466,True,3628,"{'x': 35.225833, 'y': -80.852778}",Bank of America Stadium,NC,1996.0,28202
30,5000,Buies Creek,US,False,56.51401138,,3629,"{'x': 35.4047689, 'y': -78.7424842}",Barker-Lane Stadium,NC,2008.0,
31,31500,Winston-Salem,US,False,283.548584,False,3630,"{'x': 36.1305507, 'y': -80.2545851}",BB&T Field,NC,1968.0,27105
32,22039,Houston,US,False,13.68128395,,3631,"{'x': 29.7521988, 'y': -95.3524146}",BBVA Compass Stadium,TX,2012.0,
33,106572,University Park,US,False,354.1551514,False,3632,"{'x': 40.8121958, 'y': -77.8561023}",Beaver Stadium,PA,1960.0,16802
35,30000,New Orleans,US,False,0.0000000000000000000000000000000000000118,False,4729,"{'x': 29.944616, 'y': -90.116692}",Benson Field at Yulman Stadium,LA,2014.0,
36,50000,Manhattan,US,False,328.0574646,False,3636,"{'x': 39.2020096, 'y': -96.5938395}",Bill Snyder Family Football Stadium,KS,1968.0,66502
37,15000,Prairie View,US,False,78.4,,3639,,Blackshear Stadium,TX,2016.0,
38,38000,West Point,US,False,99.21277618,False,3841,"{'x': 41.3874924, 'y': -73.9640891}",Blaik Field at Michie Stadium,NY,1924.0,10996
39,79560,Tallahassee,US,False,19.55942535,False,3697,"{'x': 30.4381692, 'y': -84.3044032}",Bobby Bowden Field at Doak Campbell Stadium,FL,1950.0,32306
40,55000,Atlanta,US,False,279.300415,False,721,"{'x': 33.7724449, 'y': -84.3928054}",Bobby Dodd Stadium at Historic Grant Field,GA,1913.0,30332
41,19000,Bozeman,US,False,1507.508667,,3643,"{'x': 45.659048, 'y': -111.049547}",Bobcat Stadium,MT,1973.0,
42,8500,Albany,US,False,64.42764282,,4419,"{'x': 42.6808062, 'y': -73.8272841}",Bob Ford Field,NY,2013.0,
43,60218,Stillwater,US,False,276.4808655,False,3646,"{'x': 36.125673, 'y': -97.066513}",Boone Pickens Stadium,OK,1919.0,74078
44,14000,Huntsville,US,False,127.6225204,,3647,"{'x': 30.713926, 'y': -95.5419802}",Bowers Stadium,TX,1986.0,
45,17000,Winston-Salem,US,False,242.5,,3649,,Bowman Gray Stadium,NC,1937.0,
46,25500,Tallahassee,US,False,31.18483925,,3650,"{'x': 30.4261632, 'y': -84.2923095}",Bragg Memorial Stadium,FL,1957.0,
47,14215,Florence,US,False,172.3,,4133,,Braly Municipal Stadium,AL,1949.0,
48,24878,Harrisonburg,US,False,399.303009,,3651,"{'x': 38.4352919, 'y': -78.8729349}",Bridgeforth Stadium,VA,1975.0,
49,23595,DeKalb,US,False,267.4530029,False,3764,"{'x': 41.9339586, 'y': -88.7778357}",Brigham Field at Huskie Stadium,IL,1965.0,60115
51,162000,Briston,US,False,456.8201294,True,4617,"{'x': 36.516, 'y': -82.257}",Bristol Motor Speedway,TN,1961.0,
52,9214,Conway,US,False,13.74894905,False,3654,"{'x': 33.7928506, 'y': -79.0166946}",Brooks Stadium,SC,2003.0,29528
53,5000,Valparaiso,US,False,244.6367645,,3655,"{'x': 41.465642, 'y': -87.0479446}",Brown Field,IN,1919.0,
54,20000,Providence,US,False,33.87348557,False,3656,"{'x': 41.842114, 'y': -71.3939416}",Brown Stadium,RI,1925.0,02912
55,101821,Tuscaloosa,US,False,70.05136108,False,3657,"{'x': 33.2082752, 'y': -87.5503836}",Bryant Denny Stadium,AL,1929.0,35487
56,4000,North Charleston,US,False,12.6744318,,3658,"{'x': 32.9810239, 'y': -80.0659664}",Buccaneer Field,SC,1970.0,
57,4400,Smithfield,US,False,124.471344,,3661,"{'x': 41.924206, 'y': -71.5385124}",Bulldog Stadium,RI,1999.0,
58,41031,Fresno,US,False,102.564064,False,3660,"{'x': 36.8143527, 'y': -119.7580092}",Bulldog Stadium,CA,1980.0,93740
59,5500,Indianapolis,US,False,221.1980591,,3664,"{'x': 39.8444694, 'y': -86.1659242}",Butler Bowl,IN,1928.0,
60,36900,Lafayette,US,False,3.556508303,False,3666,"{'x': 30.2158434, 'y': -92.0417371}",Cajun Field,LA,1971.0,70506
61,62717,Berkeley,US,False,125.3108063,False,3831,"{'x': 37.8710434, 'y': -122.2507729}",California Memorial Stadium,CA,1923.0,94720
62,65000,Orlando,US,False,31.37226868,False,4013,"{'x': 28.539167, 'y': -81.402778}",Camping World Stadium,FL,1946.0,
63,80321,Madison,US,False,263.604126,False,347,"{'x': 43.06994, 'y': -89.4126943}",Camp Randall Stadium,WI,1917.0,53711
64,4000,Fairfield,US,False,82.02420044,,3668,"{'x': 41.2212488, 'y': -73.2417431}",Campus Field,CT,1993.0,
65,41000,Fort Collins,US,False,1528.4,False,5388,,Canvas Stadium,CO,2017.0,80521
66,49250,Syracuse,US,False,162.6989746,False,1964,"{'x': 43.0362269, 'y': -76.1363161}",Carrier Dome,NY,1980.0,13244
68,2400,Cleveland,US,False,-81.603639,False,3671,,Case Field,OH,2005.0,85099
69,30964,Jonesboro,US,False,89.52690887,False,3625,"{'x': 35.8488977, 'y': -90.6677436}",Centennial Bank Stadium,AR,1974.0,72404
70,69000,Seattle,US,False,5.2,False,3673,,CenturyLink Field,WA,2002.0,
71,48519,Phoenix,US,False,323.2064514,False,4251,"{'x': 33.445278, 'y': -112.066944}",Chase Field,AZ,1998.0,
72,18467,Kansas City,US,False,300.8,,3486,,Children's Mercy Park,KS,2011.0,
73,13100,Lewisburg,US,False,151.194931,,3676,"{'x': 40.9519411, 'y': -76.884752}",Christy Mathewson-Memorial Stadium,PA,1924.0,
74,7000,The Bronx,US,False,31.2384243,,3681,"{'x': 40.8615808, 'y': -73.8827649}",Coffey Field,NY,1930.0,
76,2500,Washington,US,False,32.38431549,,3847,"{'x': 38.9080248, 'y': -77.0753144}",Cooper Field,DC,2003.0,
77,92100,Dallas,US,False,133.2241211,False,499,"{'x': 32.779722, 'y': -96.759722}",Cotton Bowl,TX,1930.0,75210
78,16700,Brookings,US,False,495.8,False,3685,,Coughlin-Alumni Stadium,SD,1961.0,57007
79,15000,Brookings,US,False,495.7769775,,5237,"{'x': 44.3210182, 'y': -96.7801386}",Coughlin-Alumni Stadium,SD,1962.0,
80,17410,Lake Charles,US,False,4.168509007,,3686,"{'x': 30.1804575, 'y': -93.2178729}",Cowboy Stadium,LA,1965.0,
81,21000,Montgomery,US,False,75.10210419,False,3689,"{'x': 32.37949, 'y': -86.293002}",Cramton Bowl,AL,1922.0,36101
82,82300,Dublin,IE,False,4.7,False,4737,,Croke Park Stadium,,1884.0,
83,10000,Vermillion,US,False,373.3928833,False,1905,"{'x': 42.7911218, 'y': -96.9278427}",DakotaDome,SD,1979.0,
84,100119,Austin,US,False,160.3089447,False,3910,"{'x': 30.2836813, 'y': -97.7325345}",Darrell K Royal-Texas Memorial Stadium,TX,1924.0,78712
86,5000,Jacksonville,US,False,12.51101398,,3691,"{'x': 30.3568843, 'y': -81.605476}",D. B. Milne Field,FL,1998.0,
87,3500,Loretto,US,False,586.9408569,,3694,"{'x': 40.5063173, 'y': -78.637214}",DeGol Field,PA,2006.0,
88,22000,Newark,US,False,28.74350357,,3695,"{'x': 39.6617428, 'y': -75.7488224}",Delaware Stadium,DE,1952.0,
89,25000,Kent,US,False,321.3641663,False,3696,"{'x': 41.1390935, 'y': -81.31346}",Dix Stadium,OH,1969.0,44242
91,50000,Greenville,US,False,19.0564537,False,3699,"{'x': 35.5968486, 'y': -77.364564}",Dowdy-Ficklen Stadium,NC,1963.0,27858
92,24000,Bowling Green,US,False,205.9057465,False,3700,"{'x': 41.3780114, 'y': -83.6225}",Doyt Perry Stadium,OH,1966.0,43403
93,14557,Des Moines,US,False,277.8869934,,3701,"{'x': 41.605, 'y': -93.655}",Drake Stadium,IA,1925.0,
94,8500,Cedar City,US,False,1763.97644,,3706,"{'x': 37.6757919, 'y': -113.0773938}",Eccles Coliseum,UT,1967.0,
95,9000,Richmond,US,False,60.03879166,,2068,"{'x': 37.5807765, 'y': -77.5372211}",E. Claiborne Robins Stadium,VA,2010.0,
96,19600,Grambling,US,False,94.58428955,,3902,"{'x': 32.5258665, 'y': -92.7146412}",Eddie Robinson Stadium,LA,1983.0,
97,3000,Springfield,US,False,309.1,,4757,,Edwards-Maurer Field,OH,1993.0,
98,13742,Cullowhee,US,False,653.8632813,,3704,"{'x': 35.3048352, 'y': -83.1818148}",E. J. Whitmire Stadium,NC,1974.0,
99,8500,Boiling Springs,US,False,253.207016,,3710,"{'x': 35.2457593, 'y': -81.6739887}",Ernest W. Spangler Stadium,NC,1969.0,
100,9000,Conway,US,False,94.25577545,,3711,"{'x': 35.0802599, 'y': -92.460045}",Estes Stadium,AR,1939.0,
101,67246,Jacksonville,US,False,1.336527586,True,3712,"{'x': 30.323889, 'y': -81.6375}",EverBank Field,FL,1995.0,32022
102,46692,Colorado Springs,US,False,2024.875732,False,3713,"{'x': 38.9969701, 'y': -104.8436165}",Falcon Stadium,CO,1962.0,80840
103,19000,Fargo,US,False,274.4847717,False,3714,"{'x': 46.9029938, 'y': -96.8003251}",Fargodome,ND,1992.0,
104,71168,Columbia,US,False,212.6865692,False,3838,"{'x': 38.9358491, 'y': -92.3332009}",Faurot Field,MO,1927.0,65211
105,30000,Boca Raton,US,False,3.613628864,False,3715,"{'x': 26.3763763, 'y': -80.1015759}",FAU Stadium,FL,2011.0,33499
106,82000,Landover,US,False,59.50488663,True,3719,"{'x': 38.907778, 'y': -76.864444}",FedEx Field,MD,1997.0,20785
107,38073,Boston,US,False,4.887843609,True,4245,"{'x': 42.346389, 'y': -71.0975}",Fenway Park,MA,1912.0,2297 
108,8318,Kennesaw,US,False,296.9589844,,4899,"{'x': 34.0289318, 'y': -84.5676234}",Fifth Third Bank Stadium,GA,2010.0,
109,20668,Chattanooga,US,False,200.1825104,False,3720,"{'x': 35.0363792, 'y': -85.3158835}",Finley Stadium,TN,1997.0,37403
110,13132,Easton,US,False,81.43208313,False,3721,"{'x': 40.7009796, 'y': -75.2106499}",Fisher Field,PA,1926.0,18042
111,23500,Worcester,US,False,137.3915253,,3722,"{'x': 42.2403564, 'y': -71.8111424}",Fitton Field,MA,1924.0,
113,10200,Macon,US,False,138.6699677,,4417,"{'x': 32.8262075, 'y': -83.6522485}",Five Star Stadium at the Moye Complex,GA,2013.0,
114,50000,Waco,US,False,151.2,False,3724,,Floyd Casey Stadium,TX,1950.0,76798
115,50183,Boulder,US,False,1634.041138,False,3726,"{'x': 40.0094746, 'y': -105.266905}",Folsom Field,CO,1924.0,80309
116,65000,Detroit,US,False,183.9643707,False,3727,"{'x': 42.34, 'y': -83.045556}",Ford Field,MI,2002.0,
118,52593,Philadelphia,US,False,11.71361065,False,3730,"{'x': 39.9501475, 'y': -75.1901043}",Franklin Field,PA,1895.0,19104
119,5000,Murfreesboro,US,False,18.69116974,,5220,"{'x': 36.434053, 'y': -77.098431}",Garrison Stadium,TN,2007.0,
120,6000,San Antonio,US,False,208.4659576,,3734,"{'x': 29.4674787, 'y': -98.470014}",Gayle and Tom Benson Stadium,TX,2008.0,
121,84389,Norman,US,False,355.0962524,False,3835,"{'x': 35.2058537, 'y': -97.4423145}",Gaylord Family Oklahoma Memorial Stadium,OK,1925.0,73019
122,74228,Atlanta,US,False,303.1637268,False,3495,"{'x': 33.7576897, 'y': -84.4008285}",Georgia Dome,GA,1992.0,39901
123,24333,Atlanta,US,False,287,False,4246,,Georgia State Stadium,GA,2017.0,30315
124,32000,University Park,US,False,169.4058075,False,3735,"{'x': 32.8377223, 'y': -96.7827859}",Gerald J. Ford Stadium,TX,2000.0,75275
125,13000,Spartanburg,US,False,231.6300049,,3737,"{'x': 34.9618606, 'y': -81.9328915}",Gibbs Stadium,SC,1996.0,
126,68756,Foxborough,US,False,78.00233459,False,3738,"{'x': 42.0909458, 'y': -71.2643465}",Gillette Stadium,MA,2002.0,02035
127,26248,Toledo,US,False,181.4839783,False,3739,"{'x': 41.6574777, 'y': -83.6135652}",Glass Bowl,OH,1937.0,43606
128,16000,Pine Bluff,US,False,67.71961975,,3740,"{'x': 34.253327, 'y': -92.0214031}",Golden Lion Stadium,AR,2000.0,
129,16000,Bethlehem,US,False,90.32305145,False,3741,"{'x': 40.5890837, 'y': -75.3553874}",Goodman Stadium,PA,1988.0,18015
130,10000,Clarksville,US,False,142.8643188,,3742,"{'x': 36.5362559, 'y': -87.3525507}",Governors Stadium,TN,1946.0,
131,8000,Martin,US,False,124.6879349,,3748,"{'x': 36.3448341, 'y': -88.8616245}",Graham Stadium,TN,1964.0,
132,40615,Chicago,US,False,180.8555756,True,4293,"{'x': 41.83, 'y': -87.633889}",Guaranteed Rate Field,IL,1991.0,
133,10000,Nashville,US,False,138.4986725,,4029,"{'x': 36.168056, 'y': -86.826944}",Hale Stadium,TN,1953.0,
134,15000,Normal,US,False,242.8722687,,3744,"{'x': 40.5125091, 'y': -88.9967177}",Hancock Stadium,IL,1963.0,
135,16368,Macomb,US,False,192.8755646,,3746,"{'x': 40.4683928, 'y': -90.6841248}",Hanson Field,IL,1950.0,
136,65326,Miami Gardens,US,False,2.624486446,True,3948,"{'x': 25.9579665, 'y': -80.2388604}",Hard Rock Stadium,FL,1987.0,33299
137,15971,Natchitoches,US,False,36.58879089,,3963,"{'x': 31.747259, 'y': -93.0961357}",Harry Turpin Stadium,LA,1976.0,
138,30323,Boston,US,False,1.96428895,,3750,"{'x': 42.366704, 'y': -71.1267511}",Harvard Stadium,MA,1903.0,
139,68400,Pittsburgh,US,False,220.5887146,False,3752,"{'x': 40.4467648, 'y': -80.0157603}",Heinz Field,PA,2001.0,15260
141,7600,Portland,US,False,65.4,,4765,,Hillsboro Stadium,OR,1999.0,
142,12000,Pocatello,US,False,1390.252441,False,1930,"{'x': 42.8702052, 'y': -112.4281274}",Holt Arena,ID,1970.0,
143,15000,Nacogdoches,US,False,89.99433899,,3756,"{'x': 31.625719, 'y': -94.6444034}",Homer Bryce Stadium,TX,1973.0,
144,26500,Montgomery,US,False,79.35839844,,4582,"{'x': 32.3642223, 'y': -86.2896902}",Hornet Stadium,AL,2012.0,
145,21195,Sacramento,US,False,12.30015659,,3757,"{'x': 38.5556718, 'y': -121.4229607}",Hornet Stadium,CA,1969.0,
146,22113,Bowling Green,US,False,154.4346619,False,3796,"{'x': 36.9847901, 'y': -86.4594041}",Houchens Industries-L. T. Smith Stadium,KY,1968.0,42101
147,11015,Cape Girardeau,US,False,137.7152405,,3758,"{'x': 37.3095375, 'y': -89.5313804}",Houck Stadium,MO,1930.0,
148,10000,Baltimore,US,False,67.05336761,,3762,"{'x': 39.3439778, 'y': -76.5829573}",Hughes Stadium,MD,1949.0,
149,70500,Seattle,US,False,11.65622807,False,3765,"{'x': 47.6503235, 'y': -122.3015746}",Husky Stadium,WA,1920.0,98195
150,5000,Houston,US,False,19.87884521,,4424,"{'x': 29.6949025, 'y': -95.5167353}",Husky Stadium,TX,2014.0,
151,49565,Shreveport,US,False,78.48539734,False,3766,"{'x': 32.475556, 'y': -93.791944}",Independence Stadium,FL,1924.0,
152,22500,Lorman,US,False,72.25324249,False,3771,"{'x': 31.873621, 'y': -91.13488}",Jack Spinks Stadium,MS,1992.0,39096
153,61500,Ames,US,False,274.9135437,False,3772,"{'x': 42.0139977, 'y': -93.6357716}",Jack Trice Stadium,IA,1975.0,50011
154,0,Winter Haven,US,False,37.3,,4752,,Jahna Field,FL,,
155,10000,Morehead,US,False,228.1033936,,3774,"{'x': 38.1916481, 'y': -83.4253315}",Jayne Stadium,KY,1964.0,
157,30000,San Marcos,US,False,177.8676453,False,3644,"{'x': 29.8910008, 'y': -97.9255735}",Jim Wacker Field at Bobcat Stadium,TX,1981.0,78666
158,38019,Huntington,US,False,163.7328186,False,3775,"{'x': 38.4247042, 'y': -82.4214412}",Joan C. Edwards Stadium,WV,1991.0,25755
159,28019,Ruston,US,False,72.87982941,False,3776,"{'x': 32.5321487, 'y': -92.6560019}",Joe Aillet Stadium,LA,1968.0,71272
160,3000,Moon Township,US,False,351.4482422,,3777,"{'x': 40.521046, 'y': -80.2159227}",Joe Walton Stadium,PA,2005.0,
161,5200,Springfield,US,False,385.9,,3778,,John F. Kennedy Stadium,MO,1957.0,
162,31000,Murfreesboro,US,False,191.7279816,False,3725,"{'x': 35.8511463, 'y': -86.3681649}","Johnny Red"""" Floyd Stadium""""",TN,1933.0,37132
163,11000,Towson,US,False,117.6974106,,3781,"{'x': 39.3885683, 'y': -76.6159716}",Johnny Unitas Stadium,MD,1978.0,
164,40000,Houston,US,False,9.57440567,False,4728,"{'x': 29.7219885, 'y': -95.3491623}",John O'Quinn Field at TDECU Stadium,TX,2014.0,
165,21000,Charleston,US,False,4.137742996,,3782,"{'x': 32.7936975, 'y': -79.9558183}",Johnson Hagood Stadium,SC,1948.0,
166,60862,Lubbock,US,False,980.7632446,False,3784,"{'x': 33.5910518, 'y': -101.8728824}",Jones AT&T Stadium,TX,1947.0,79409
168,24000,Jacksonville,US,False,198.0679016,,3662,"{'x': 33.8201052, 'y': -85.76647}",JSU Stadium,AL,1947.0,
169,32885,Mount Pleasant,US,False,240.9007721,False,3786,"{'x': 43.5777313, 'y': -84.7709904}",Kelly/Shorts Stadium,MI,1972.0,48859
